Date,Open,High,Low,Close,Adj Close,Volume
2017-01-10,221.9499969482422,221.9499969482422,210.0,218.4499969482422,215.6660614013672,1321
2017-01-11,218.4499969482422,218.4499969482422,218.4499969482422,218.4499969482422,215.6660614013672,0
2017-01-12,214.0,227.0,212.0,219.5500030517578,216.7520294189453,629
2017-01-13,218.0,223.5,218.0,218.0500030517578,215.27114868164062,336
2017-01-16,213.0,221.89999389648438,210.0,218.0,215.22178649902344,679
2017-01-17,216.10000610351562,220.0,215.10000610351562,216.3000030517578,213.54345703125,564
2017-01-18,215.1999969482422,224.8000030517578,213.64999389648438,216.0500030517578,213.29664611816406,423
2017-01-19,234.0,234.0,208.0,215.0500030517578,212.30938720703125,470
2017-01-20,212.0,220.0,211.3000030517578,214.5,211.7664031982422,260
2017-01-23,214.5500030517578,221.4499969482422,214.5,221.4499969482422,218.62782287597656,903
2017-01-24,221.4499969482422,221.4499969482422,212.75,215.0,212.26002502441406,743
2017-01-25,215.0,220.0,215.0,216.4499969482422,213.69154357910156,718
2017-01-27,211.0,220.10000610351562,211.0,214.0,211.27276611328125,288
2017-01-30,214.0,215.1999969482422,214.0,215.0,212.26002502441406,677
2017-01-31,214.0,216.8000030517578,211.25,215.0,212.26002502441406,2165
2017-02-01,218.89999389648438,221.0,215.0500030517578,220.64999389648438,217.83802795410156,1747
2017-02-02,220.6999969482422,220.6999969482422,218.0,220.0500030517578,217.24566650390625,589
2017-02-03,220.0500030517578,220.0500030517578,220.0,220.0,217.19630432128906,121
2017-02-06,224.4499969482422,224.4499969482422,220.0,221.5,218.6771697998047,526
2017-02-07,218.0,221.0,216.6999969482422,220.64999389648438,217.83802795410156,231
2017-02-08,218.0,218.0,205.0,208.3000030517578,205.64540100097656,1027
2017-02-09,216.60000610351562,221.60000610351562,210.3000030517578,212.1999969482422,209.49569702148438,11
2017-02-10,212.0,218.5,210.5500030517578,213.0,210.28549194335938,257
2017-02-13,212.0,219.89999389648438,205.10000610351562,209.10000610351562,206.43521118164062,1425
2017-02-14,214.5,217.89999389648438,214.5,216.1999969482422,213.44471740722656,2
2017-02-15,210.0,210.0,202.10000610351562,208.85000610351562,206.1884002685547,302
2017-02-16,210.0,212.9499969482422,210.0,211.9499969482422,209.24887084960938,5
2017-02-17,209.0,215.0,207.5,208.5,205.8428497314453,871
2017-02-20,190.9499969482422,228.9499969482422,190.9499969482422,212.75,210.0386962890625,3857
2017-02-21,206.0,216.0,206.0,215.9499969482422,213.19789123535156,1636
2017-02-22,210.10000610351562,216.0,210.0,214.9499969482422,212.2106475830078,2601
2017-02-23,211.5,215.0,211.1999969482422,215.0,212.26002502441406,2414
2017-02-27,211.0,221.0,211.0,219.85000610351562,217.04820251464844,4174
2017-02-28,228.60000610351562,228.60000610351562,215.0,215.0,212.26002502441406,2507
2017-03-01,217.0,221.9499969482422,214.5,215.14999389648438,212.40809631347656,2360
2017-03-02,211.0500030517578,213.3000030517578,211.0500030517578,213.0,210.28549194335938,207
2017-03-03,210.14999389648438,212.0,210.0,211.39999389648438,208.70590209960938,755
2017-03-06,217.85000610351562,217.85000610351562,209.10000610351562,214.89999389648438,212.16128540039062,506
2017-03-07,215.0,220.0,215.0,216.3000030517578,213.54345703125,3767
2017-03-08,210.25,220.0,210.10000610351562,216.0,213.24728393554688,2042
2017-03-09,221.9499969482422,221.9499969482422,215.0,215.5,212.753662109375,411
2017-03-10,212.10000610351562,215.0,212.10000610351562,215.0,212.26002502441406,365
2017-03-14,211.5500030517578,226.6999969482422,211.5500030517578,224.0500030517578,221.1947021484375,4070
2017-03-15,217.10000610351562,219.89999389648438,217.10000610351562,219.5,216.7026824951172,316
2017-03-16,218.1999969482422,222.10000610351562,218.10000610351562,220.0,217.19630432128906,4341
2017-03-17,220.39999389648438,220.39999389648438,215.5,219.14999389648438,216.3571319580078,820
2017-03-20,220.0,238.89999389648438,213.0,217.0,214.23452758789062,642
2017-03-21,225.6999969482422,233.89999389648438,210.0,214.3000030517578,211.56895446777344,1011
2017-03-22,213.0,221.0,212.14999389648438,215.14999389648438,212.40809631347656,1174
2017-03-23,218.9499969482422,219.0,215.5500030517578,215.60000610351562,212.85238647460938,583
2017-03-24,217.0,217.0,207.0,210.0,207.32373046875,731
2017-03-27,218.39999389648438,228.89999389648438,213.0,215.0,212.26002502441406,1022
2017-03-28,213.0,220.89999389648438,211.3000030517578,218.3000030517578,215.51797485351562,1659
2017-03-29,221.0,226.0,218.35000610351562,225.9499969482422,223.07046508789062,1318
2017-03-30,225.89999389648438,225.89999389648438,220.10000610351562,225.60000610351562,222.7249298095703,3246
2017-03-31,220.0,223.0500030517578,220.0,223.0500030517578,220.20742797851562,179
2017-04-03,220.0,225.0,210.0,213.6999969482422,210.97657775878906,2505
2017-04-05,215.0,220.0,210.25,217.39999389648438,214.62942504882812,160
2017-04-06,215.0,231.0,215.0,228.3000030517578,225.39053344726562,1162
2017-04-07,234.0,234.0,228.25,229.25,226.32843017578125,888
2017-04-10,234.0,234.0,221.14999389648438,224.0,221.14532470703125,778
2017-04-11,221.0,230.0,220.3000030517578,223.35000610351562,220.5036163330078,676
